Date,Download,Upload
Fri 18 Dec 07:00:01 IST 2020,,
Fri 18 Dec 07:30:01 IST 2020,,
Fri 18 Dec 08:00:01 IST 2020,,
Fri 18 Dec 08:30:01 IST 2020,,
Fri 18 Dec 09:00:01 IST 2020,,
Fri 18 Dec 09:30:01 IST 2020,,
Fri 18 Dec 10:00:01 IST 2020,,
Fri 18 Dec 10:30:01 IST 2020,,
Fri 18 Dec 11:00:01 IST 2020,,
Fri 18 Dec 11:30:01 IST 2020,,
Fri 18 Dec 12:00:01 IST 2020,,
Fri 18 Dec 12:30:01 IST 2020,,
Fri 18 Dec 13:00:01 IST 2020,,
Fri 18 Dec 13:30:01 IST 2020,,
Fri 18 Dec 14:00:01 IST 2020,,
Fri 18 Dec 14:30:01 IST 2020,,
Fri 18 Dec 15:00:01 IST 2020,,
Fri 18 Dec 15:30:02 IST 2020,,
Fri 18 Dec 16:00:01 IST 2020,,
Fri 18 Dec 16:30:01 IST 2020,,
Fri 18 Dec 17:00:01 IST 2020,,
Fri 18 Dec 17:30:01 IST 2020,,
Fri 18 Dec 18:00:01 IST 2020,,
Fri 18 Dec 18:30:01 IST 2020,,
Fri 18 Dec 19:00:01 IST 2020,,
Fri 18 Dec 19:30:01 IST 2020,43.62,62.4
Fri 18 Dec 19:32:44 IST 2020,42.95,40.91
Fri 18 Dec 20:00:01 IST 2020,54.09,62.75
Fri 18 Dec 21:00:50 IST 2020,0.8,7.3
Fri 18 Dec 21:30:50 IST 2020,0.58,2.39
Fri 18 Dec 22:00:01 IST 2020,0.72,0.26
Fri 18 Dec 22:30:01 IST 2020,,
Fri 18 Dec 23:00:01 IST 2020,,
Fri 18 Dec 23:30:01 IST 2020,,
Sat 19 Dec 00:00:01 IST 2020,0.55,17.2
Sat 19 Dec 00:30:01 IST 2020,0.72,16.64
Sat 19 Dec 01:00:01 IST 2020,0.71,15.45
Sat 19 Dec 01:30:01 IST 2020,0.64,15.96
Sat 19 Dec 02:00:01 IST 2020,0.78,15.37
Sat 19 Dec 02:30:01 IST 2020,,
Sat 19 Dec 03:00:01 IST 2020,,
Sat 19 Dec 03:30:01 IST 2020,,
Sat 19 Dec 04:00:01 IST 2020,,
Sat 19 Dec 04:30:01 IST 2020,,
Sat 19 Dec 05:00:01 IST 2020,,
Sat 19 Dec 05:30:01 IST 2020,,
Sat 19 Dec 06:00:01 IST 2020,,
Sat 19 Dec 06:30:01 IST 2020,,
Sat 19 Dec 07:00:01 IST 2020,,
Sat 19 Dec 07:30:01 IST 2020,,
Sat 19 Dec 08:00:01 IST 2020,,
Sat 19 Dec 08:30:01 IST 2020,,
Sat 19 Dec 09:00:01 IST 2020,,
Sat 19 Dec 09:30:02 IST 2020,,
Sat 19 Dec 10:00:01 IST 2020,,
Sat 19 Dec 10:30:01 IST 2020,,
Sat 19 Dec 11:00:01 IST 2020,,
Sat 19 Dec 11:30:01 IST 2020,,
Sat 19 Dec 12:00:01 IST 2020,,
Sat 19 Dec 12:30:01 IST 2020,,
Sat 19 Dec 13:00:02 IST 2020,,
Sat 19 Dec 13:30:01 IST 2020,,
Sat 19 Dec 14:00:01 IST 2020,,
Sat 19 Dec 14:30:01 IST 2020,,
Sat 19 Dec 15:00:01 IST 2020,,
Sat 19 Dec 15:30:01 IST 2020,,
Sat 19 Dec 16:00:01 IST 2020,,
Sat 19 Dec 16:30:02 IST 2020,,
Sat 19 Dec 17:00:01 IST 2020,,
Sat 19 Dec 17:30:01 IST 2020,,
Sat 19 Dec 18:00:01 IST 2020,,
Sat 19 Dec 18:30:01 IST 2020,0.47,11.8
Sat 19 Dec 19:00:01 IST 2020,0.74,15.22
Sat 19 Dec 19:30:01 IST 2020,0.63,17.69
Sat 19 Dec 20:00:01 IST 2020,0.83,17.46
Sat 19 Dec 20:30:02 IST 2020,0.74,15.93
Sat 19 Dec 21:00:01 IST 2020,0.76,16.83
Sat 19 Dec 21:30:01 IST 2020,0.77,15.82
Sat 19 Dec 22:00:01 IST 2020,0.81,16.12
Sat 19 Dec 22:30:01 IST 2020,0.75,18.35
Sat 19 Dec 23:00:01 IST 2020,0.82,16.58
Sat 19 Dec 23:30:01 IST 2020,,
Sun 20 Dec 00:00:01 IST 2020,,
Sun 20 Dec 00:30:01 IST 2020,,
Sun 20 Dec 01:00:01 IST 2020,,
Sun 20 Dec 01:30:01 IST 2020,,
Sun 20 Dec 02:00:01 IST 2020,,
