Date,Download,Upload
Sun 13 Dec 23:00:01 IST 2020,,
Sun 13 Dec 23:30:01 IST 2020,,
Mon 14 Dec 00:00:01 IST 2020,,
Mon 14 Dec 00:30:01 IST 2020,,
Mon 14 Dec 01:00:01 IST 2020,,
Mon 14 Dec 01:30:01 IST 2020,,
Mon 14 Dec 02:00:01 IST 2020,,
Mon 14 Dec 02:30:01 IST 2020,,
Mon 14 Dec 03:00:01 IST 2020,,
Mon 14 Dec 03:30:01 IST 2020,,
Mon 14 Dec 04:00:01 IST 2020,,
Mon 14 Dec 04:30:01 IST 2020,,
Mon 14 Dec 05:00:01 IST 2020,,
Mon 14 Dec 05:30:01 IST 2020,,
Mon 14 Dec 06:00:01 IST 2020,,
Mon 14 Dec 06:30:01 IST 2020,,
Mon 14 Dec 07:00:02 IST 2020,,
Mon 14 Dec 07:30:01 IST 2020,,
Mon 14 Dec 08:00:01 IST 2020,,
Mon 14 Dec 08:30:01 IST 2020,,
Mon 14 Dec 09:00:01 IST 2020,,
Mon 14 Dec 09:30:02 IST 2020,,
Mon 14 Dec 10:00:01 IST 2020,,
Mon 14 Dec 10:30:01 IST 2020,,
Mon 14 Dec 11:00:01 IST 2020,,
Mon 14 Dec 11:30:01 IST 2020,,
Mon 14 Dec 12:00:01 IST 2020,,
Mon 14 Dec 12:30:01 IST 2020,,
Mon 14 Dec 13:00:01 IST 2020,,
Mon 14 Dec 13:30:01 IST 2020,,
Mon 14 Dec 14:00:01 IST 2020,,
Mon 14 Dec 14:30:01 IST 2020,,
Mon 14 Dec 15:00:01 IST 2020,,
Mon 14 Dec 15:30:01 IST 2020,,
Mon 14 Dec 16:00:01 IST 2020,11,0
Mon 14 Dec 16:30:01 IST 2020,21.73,0.26
Mon 14 Dec 17:00:01 IST 2020,11.89,0
Mon 14 Dec 17:30:01 IST 2020,21.97,0
Mon 14 Dec 18:00:01 IST 2020,8.13,0
Mon 14 Dec 18:30:02 IST 2020,8.54,0
Mon 14 Dec 19:00:01 IST 2020,11.6,0
Mon 14 Dec 19:30:01 IST 2020,28.34,3.36
Mon 14 Dec 20:00:01 IST 2020,29.26,5.43
Mon 14 Dec 20:30:01 IST 2020,30.99,18.48
Mon 14 Dec 21:00:01 IST 2020,21.83,18.04
Mon 14 Dec 21:30:01 IST 2020,23.7,16.2
Mon 14 Dec 22:00:01 IST 2020,16.15,22.57
Mon 14 Dec 22:30:01 IST 2020,28.3,16.56
Mon 14 Dec 23:00:01 IST 2020,31.09,25.97
Mon 14 Dec 23:30:01 IST 2020,39.94,23.08
Tue 15 Dec 00:00:01 IST 2020,36.59,19.05
Tue 15 Dec 00:30:01 IST 2020,33.43,23.44
Tue 15 Dec 01:00:01 IST 2020,27.69,25.02
Tue 15 Dec 01:30:01 IST 2020,26.98,18.99
Tue 15 Dec 02:00:01 IST 2020,48.24,30.78
Tue 15 Dec 02:30:01 IST 2020,6.12,26.72
Tue 15 Dec 03:00:01 IST 2020,37.22,26.29
Tue 15 Dec 03:30:02 IST 2020,27.97,18.59
Tue 15 Dec 04:00:01 IST 2020,33.65,14.69
Tue 15 Dec 04:30:01 IST 2020,40.9,25.04
Tue 15 Dec 05:00:01 IST 2020,40.66,23.42
Tue 15 Dec 05:30:01 IST 2020,43.49,13.27
Tue 15 Dec 06:00:01 IST 2020,46.37,24.93
Tue 15 Dec 06:30:01 IST 2020,34.91,28.05
Tue 15 Dec 07:00:01 IST 2020,44.78,31.42
